[08/08/2024 	 12:15:22] 	 GET 	 /products/1
[08/08/2024 	 15:52:07] 	 POST 	 /users/login
[08/08/2024 	 15:54:40] 	 GET 	 /products
[08/08/2024 	 15:54:40] 	 GET 	 /products
[08/08/2024 	 16:29:22] 	 GET 	 /products
[08/08/2024 	 16:29:22] 	 GET 	 /products
[08/08/2024 	 16:33:04] 	 GET 	 /products
[08/08/2024 	 16:33:04] 	 GET 	 /products
[08/08/2024 	 16:33:13] 	 GET 	 /products
[08/08/2024 	 16:33:13] 	 GET 	 /products
[08/08/2024 	 16:46:46] 	 POST 	 /users/login
[08/08/2024 	 16:47:03] 	 GET 	 /products/3
[08/08/2024 	 16:47:03] 	 GET 	 /products/3
[08/08/2024 	 16:50:20] 	 POST 	 /users/login
[08/08/2024 	 17:02:18] 	 GET 	 /products
[08/08/2024 	 17:02:18] 	 GET 	 /products
[08/08/2024 	 17:02:23] 	 POST 	 /users/login
[08/08/2024 	 17:02:51] 	 GET 	 /products
[08/08/2024 	 17:02:51] 	 GET 	 /products
[08/08/2024 	 17:02:58] 	 POST 	 /users/login
[08/08/2024 	 17:03:14] 	 GET 	 /products
[08/08/2024 	 17:03:14] 	 GET 	 /products
[08/08/2024 	 17:03:59] 	 GET 	 /products
[08/08/2024 	 17:04:00] 	 POST 	 /users/login
[08/08/2024 	 17:05:47] 	 POST 	 /users/login
[08/08/2024 	 17:06:11] 	 POST 	 /users/login
[08/08/2024 	 17:06:21] 	 POST 	 /users/login
[08/08/2024 	 17:09:03] 	 GET 	 /products
[08/08/2024 	 17:09:03] 	 GET 	 /products
[08/08/2024 	 17:11:15] 	 POST 	 /users/login
[08/08/2024 	 17:12:18] 	 GET 	 /products
[08/08/2024 	 17:12:18] 	 GET 	 /products
[08/08/2024 	 17:12:57] 	 GET 	 /products
[08/08/2024 	 17:12:57] 	 GET 	 /products
[08/08/2024 	 17:18:33] 	 GET 	 /products
[08/08/2024 	 17:18:55] 	 POST 	 /users/login
[08/08/2024 	 17:34:57] 	 GET 	 /products
[08/08/2024 	 17:34:57] 	 GET 	 /products
[08/08/2024 	 17:36:03] 	 POST 	 /users/login
[08/08/2024 	 17:36:41] 	 GET 	 /products
[08/08/2024 	 17:36:41] 	 GET 	 /products
[08/08/2024 	 17:36:46] 	 POST 	 /users/login
[08/08/2024 	 17:37:04] 	 GET 	 /products
[08/08/2024 	 17:37:04] 	 GET 	 /products
[08/08/2024 	 17:37:05] 	 POST 	 /users/login
[08/08/2024 	 17:37:53] 	 GET 	 /products
[08/08/2024 	 17:39:01] 	 GET 	 /products
[08/08/2024 	 17:39:01] 	 GET 	 /products
[08/08/2024 	 17:39:04] 	 POST 	 /users/login
[08/08/2024 	 17:41:13] 	 GET 	 /products
[08/08/2024 	 17:41:13] 	 GET 	 /products
[08/08/2024 	 17:41:20] 	 POST 	 /users/login
[08/08/2024 	 17:42:37] 	 GET 	 /products
[08/08/2024 	 17:42:37] 	 GET 	 /products
[08/08/2024 	 17:42:41] 	 POST 	 /users/login
[08/08/2024 	 17:46:31] 	 GET 	 /products
[08/08/2024 	 17:46:37] 	 GET 	 /products/3
[08/08/2024 	 17:46:37] 	 GET 	 /products/3
[08/08/2024 	 17:49:50] 	 GET 	 /products/3
[08/08/2024 	 17:50:07] 	 GET 	 /products/3
[08/08/2024 	 17:50:15] 	 GET 	 /products/3
[08/08/2024 	 17:50:28] 	 GET 	 /products/3
[08/08/2024 	 17:50:44] 	 GET 	 /products/3
[08/08/2024 	 17:51:06] 	 GET 	 /products/3
[08/08/2024 	 17:52:53] 	 GET 	 /products/3
[08/08/2024 	 18:03:49] 	 GET 	 /products/3/3
[08/08/2024 	 18:03:49] 	 GET 	 /products/3/3
[08/08/2024 	 18:04:55] 	 GET 	 /products/3/3
[08/08/2024 	 18:06:40] 	 GET 	 /products/3/3
[08/08/2024 	 18:06:45] 	 GET 	 /products/3/3
[08/08/2024 	 18:06:45] 	 GET 	 /products/3/3
[08/08/2024 	 18:07:39] 	 GET 	 /products/3/3
[08/08/2024 	 18:07:43] 	 GET 	 /products
[08/08/2024 	 18:07:43] 	 GET 	 /products
[08/08/2024 	 18:07:50] 	 POST 	 /users/login
[08/08/2024 	 18:07:56] 	 GET 	 /products/3/3
[08/08/2024 	 18:07:56] 	 GET 	 /products/3/3
[08/08/2024 	 18:08:25] 	 GET 	 /products/3/3
[08/08/2024 	 18:08:25] 	 GET 	 /products/3/3
[08/08/2024 	 18:13:14] 	 GET 	 /products/3
[08/08/2024 	 18:13:27] 	 GET 	 /products/3
[08/08/2024 	 18:13:27] 	 GET 	 /products/3
[08/08/2024 	 18:13:45] 	 GET 	 /products/1
[08/08/2024 	 18:13:45] 	 GET 	 /products/1
[08/08/2024 	 18:14:30] 	 DELETE 	 /products/1
[08/08/2024 	 18:15:33] 	 GET 	 /products/3
[08/08/2024 	 18:15:33] 	 GET 	 /products/3
[08/08/2024 	 18:15:35] 	 DELETE 	 /products/3
[08/08/2024 	 18:18:47] 	 GET 	 /products
[08/08/2024 	 18:19:22] 	 GET 	 /products/4
[08/08/2024 	 18:19:22] 	 GET 	 /products/4
[08/08/2024 	 18:19:27] 	 DELETE 	 /products/4
[08/08/2024 	 18:20:48] 	 GET 	 /products
[08/08/2024 	 18:20:52] 	 GET 	 /products
[08/08/2024 	 18:20:52] 	 GET 	 /products
[08/08/2024 	 18:20:59] 	 POST 	 /users/login
[08/08/2024 	 18:21:05] 	 GET 	 /products/7
[08/08/2024 	 18:21:05] 	 GET 	 /products/7
[08/08/2024 	 18:21:40] 	 GET 	 /products
[08/08/2024 	 18:22:20] 	 GET 	 /products/7
[08/08/2024 	 18:22:20] 	 GET 	 /products/7
[08/08/2024 	 18:22:26] 	 GET 	 /products
[08/08/2024 	 18:22:26] 	 GET 	 /products
[08/08/2024 	 18:22:31] 	 POST 	 /users/login
[08/08/2024 	 18:22:36] 	 GET 	 /products/7
[08/08/2024 	 18:22:36] 	 GET 	 /products/7
[08/08/2024 	 18:22:38] 	 DELETE 	 /products/7
[08/08/2024 	 18:22:38] 	 GET 	 /products
[08/08/2024 	 18:22:41] 	 GET 	 /products/8
[08/08/2024 	 18:22:41] 	 GET 	 /products/8
[08/08/2024 	 18:22:43] 	 DELETE 	 /products/8
[08/08/2024 	 18:22:43] 	 GET 	 /products
[08/08/2024 	 18:22:47] 	 GET 	 /products/12
[08/08/2024 	 18:22:47] 	 GET 	 /products/12
[08/08/2024 	 18:22:48] 	 DELETE 	 /products/12
[08/08/2024 	 18:22:48] 	 GET 	 /products
[08/08/2024 	 18:40:43] 	 GET 	 /products
[08/08/2024 	 18:40:43] 	 GET 	 /products
[08/08/2024 	 18:40:49] 	 POST 	 /users/login
[08/08/2024 	 18:44:35] 	 GET 	 /products
[08/08/2024 	 18:44:35] 	 GET 	 /products
[08/08/2024 	 18:47:01] 	 POST 	 /users/login
[08/08/2024 	 18:58:15] 	 GET 	 /products
[08/08/2024 	 18:58:15] 	 GET 	 /products
[08/08/2024 	 18:58:22] 	 POST 	 /users/login
[08/08/2024 	 19:00:50] 	 GET 	 /products
[08/08/2024 	 19:00:50] 	 GET 	 /products
[08/08/2024 	 19:02:12] 	 POST 	 /users/login
[08/08/2024 	 19:04:52] 	 GET 	 /products
[08/08/2024 	 19:04:52] 	 GET 	 /products
[08/08/2024 	 19:04:57] 	 POST 	 /users/login
[08/08/2024 	 19:08:29] 	 POST 	 /users/login
[08/08/2024 	 19:15:13] 	 PUT 	 /products
[08/08/2024 	 19:17:26] 	 PUT 	 /products
[08/08/2024 	 19:21:06] 	 PUT 	 /products/17
[08/08/2024 	 19:21:22] 	 POST 	 /users/login
[08/08/2024 	 19:21:49] 	 PUT 	 /products/2
[08/08/2024 	 19:25:00] 	 PUT 	 /products/5
[08/08/2024 	 19:25:00] 	 GET 	 /products
[08/08/2024 	 19:27:18] 	 PUT 	 /products/3
[08/08/2024 	 19:27:18] 	 GET 	 /products
[08/08/2024 	 19:28:04] 	 PUT 	 /products/1
[08/08/2024 	 19:28:04] 	 GET 	 /products
[08/08/2024 	 19:29:41] 	 POST 	 /users/login
[08/08/2024 	 19:29:51] 	 PUT 	 /products/3
[08/08/2024 	 19:29:51] 	 GET 	 /products
[08/08/2024 	 19:30:08] 	 PUT 	 /products/2
[08/08/2024 	 19:30:08] 	 GET 	 /products
[08/08/2024 	 19:32:32] 	 PUT 	 /products/5
[08/08/2024 	 19:32:32] 	 GET 	 /products
[08/08/2024 	 19:33:17] 	 GET 	 /products/16
[08/08/2024 	 19:33:17] 	 GET 	 /products/16
[08/08/2024 	 19:36:38] 	 GET 	 /products/16
[08/08/2024 	 19:38:16] 	 GET 	 /products/16
[08/08/2024 	 19:39:23] 	 GET 	 /products/16
[08/08/2024 	 19:39:31] 	 GET 	 /products/16
[08/08/2024 	 19:39:36] 	 GET 	 /products/16
[08/08/2024 	 19:39:41] 	 GET 	 /products/16
[08/08/2024 	 19:40:55] 	 PUT 	 /products/1
[08/08/2024 	 19:40:55] 	 GET 	 /products
[09/08/2024 	 09:25:19] 	 GET 	 /products
[09/08/2024 	 09:25:19] 	 GET 	 /products
[09/08/2024 	 09:25:30] 	 POST 	 /users/login
[09/08/2024 	 09:26:18] 	 POST 	 /users/login
[09/08/2024 	 09:27:40] 	 GET 	 /products/3
[09/08/2024 	 09:27:40] 	 GET 	 /products/3
[09/08/2024 	 09:27:47] 	 GET 	 /products/1
[09/08/2024 	 09:27:47] 	 GET 	 /products/1
